speaker_id,line_id,rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr
SDM66177,6617765104,0.13729428,-0.0004041539280835262,4.669540229885057,125.32807840779469,28.200862344441163,9.203322865803592
SDM97736,9773653338,0.14916427,-0.0004892279748091606,5.777833001988071,138.23437071948172,27.938191630813098,9.182413932029107
SDM97736,9773612218,0.16610588,-0.00017064421382746974,6.149885583524027,143.28570354266338,24.942194435668014,9.862506753006205
SDM97736,9773676682,0.17549416,-0.000439393371305496,5.744255744255745,152.4035829581834,33.21457975648016,9.348621827886378
SDM97736,9773692734,0.16597244,-0.0007305533895107163,6.369177868083775,142.32786605029096,22.29304779637182,9.240054748221768
SDM97736,9773621253,0.1447043,-0.00023255534001822921,5.6431005110732535,141.8242955626162,39.28834250811712,9.092925484285686
SDM97736,9773616951,0.12233059,-0.0002138286378841378,6.357965451055662,126.29093808216447,39.51727671890862,9.071031939251126
SDM97736,9773690970,0.13876455,-0.00033844931547914064,6.870781099324975,129.70567772487084,31.65397558105433,8.459904337686195
SDM97736,9773694799,0.15704629,-0.0006735618826550166,6.521739130434782,144.28513079208108,34.34457019955031,9.722535052560335
SDM53332,5333295014,0.13852154,-0.00023041076565231733,6.45107238605898,135.86869759120086,32.805679280596195,8.977259318044418
SDM97736,9773620037,0.17241673,-0.0006463055273363954,7.094386181369525,164.91786850974867,39.797695558423875,8.513693988878883
SDM97736,9773652590,0.16857937,-0.0005264788141187715,6.845841784989858,151.11028942342438,32.035907022689806,8.144896667776617
SDM97736,9773683964,0.15613177,-0.0003387611752800957,6.190232240437157,139.4180366228334,40.019551371932884,9.349470966834328
SDM52137,5213742138,0.14020278,-0.0002269930015400807,5.654761904761904,185.84404743657026,287.81314156548933,9.320472300184713
SDM52137,5213731138,0.16577347,-0.0005521403626581047,5.8013052936910805,129.26805753453115,25.98434624007826,10.940267588546108
SDM97736,9773695837,0.1559937,-0.0004412653001134208,5.847614636405742,152.12570263948754,32.999620042175316,8.66010340787076
SDM52137,5213732812,0.14853556,-0.00039986862198088563,5.6169757489301,149.73357708817232,34.39396475801024,9.290982844257007
SDM97736,9773655409,0.17752402,-0.0007991447138122901,6.927263730826324,139.09480367927407,30.916866645291677,7.842344777822669
SDM97736,9773621832,0.15710635,-0.00037621051222497373,5.535216178521617,147.3480258227526,39.3211131157279,7.9369405851372745
SDM97736,9773694562,0.1541921,-0.00040931949087937323,6.292420814479637,142.43936106821857,30.26927915535516,9.127638867727095
SDM97736,9773658872,0.14231315,-0.0003653520582612835,5.217297762478483,140.93530642241933,43.6141913026907,8.56492957109739
SDM97736,9773612271,0.1586755,-0.0005606711204076552,5.710132890365448,137.79828276805912,42.413017651687994,9.159711248716258
SDM97736,9773665773,0.14152895,-0.0003439479330550494,7.084627329192546,125.82322919083428,21.028086801206754,9.797837112699277
SDM97736,9773697720,0.1359413,-0.00042017025800443155,5.3414536741214045,129.91576318073268,31.129872810187454,8.360179447336755
SDM97736,9773662142,0.14129093,-0.00041094454719279303,7.05094306363476,126.29690604999033,28.72083612101242,8.107716645770006
SDM52137,5213792975,0.150028,-0.00040820151699382055,6.676768633393313,139.60054197205864,39.46004747142786,8.610884700803343
SDM97736,9773654765,0.1461016,-0.0003415061339894868,7.352941176470588,141.07228003700578,38.360830365909294,8.755673853944653
SDM97736,9773658874,0.15194392,-0.0004502135445086574,6.367624168671289,134.46636491191873,39.16306154111735,8.92950254671173
SDM53332,5333256547,0.1699718,-0.0002982992502329226,8.297413793103447,158.6203485872962,29.083433835810403,8.208890678902753
SDM53332,5333263794,0.17827795,-0.0003978778421376531,8.392467248908298,155.9481560552561,38.61680498766923,8.535303252048987
SDM66177,6617794366,0.15409401,-0.0005580467666618978,5.134976525821596,141.11185763139233,34.979845966802515,9.66918955974309
SDM97736,9773621487,0.21582147,-0.0016221236997549457,5.376344086021505,148.36828986161447,27.41913030737812,9.501696579403838
SDM97736,9773626945,0.20917977,-0.0011540990634533687,5.837264150943396,144.143855787467,23.027026058036576,9.161206086944754
SDM97736,9773680591,0.2113787,-0.0012413137815686403,6.169354838709677,153.38629323824622,33.290134271743135,9.090818969341147
SDM52137,5213718221,0.19208142,-0.0007882095615323934,5.377906976744185,155.87087498389778,36.42209236844154,9.243874285794181
SDM66177,6617785401,0.21571489,-0.0006607544887997861,5.73634859349145,159.52082830584524,30.915161616798613,9.829329207219443
SDM97736,9773697512,0.20656139,-0.001092962124742296,5.222999364156599,149.1728943056002,24.46367688703976,9.790411257730756
SDM97736,9773661276,0.19790547,-0.001521023574281861,5.974264705882352,145.79108781485763,34.49642193629298,9.027933660060443
SDM97736,9773660059,0.20091024,-0.000748720268280175,5.201374308074061,164.39924892442778,37.68730573313762,9.62133498151062
SDM97736,9773611047,0.20062973,-0.0010665859062547213,4.999166805532411,154.28796336475386,35.4153319847986,9.095364334490599
SDM53332,5333215375,0.22722419,-0.0009011325897464068,4.821096654275093,151.64159201385942,28.260912234181134,9.964438391439359
SDM97736,9773693561,0.22095789,-0.00103260591481648,5.771378925158247,147.19675757099415,30.357107465409058,9.532371716737305
SDM97736,9773668118,0.20608991,-0.0008777877889046918,5.724098454493418,147.14876518906914,26.828311282038516,9.464226268576564
SDM53332,5333282720,0.21073222,-0.0010626342779401455,5.203503348789283,152.5363324251713,34.32307816602063,9.176718357881649
SDM53332,5333275844,0.20118755,-0.0007070091750106482,5.695730863408922,155.23614500756935,36.97811209033016,8.990958331453163
SDM97736,9773641298,0.19080392,-0.00040913925324491667,7.0443645083932855,144.45943269644786,33.59943077491351,9.009945842431952
SDM53332,5333226051,0.055046953,-3.3102555965535114e-05,5.851593625498009,151.39220511211187,40.38320378143844,7.180330462702257
SDM53332,5333246505,0.054500964,5.34036209284861e-06,6.648089171974521,149.80988532367323,37.719711906367436,7.031767298717174
SDM53332,5333295407,0.055364948,3.643474217614639e-06,5.826957033549146,143.98777265226565,27.510672983171897,7.242034693867553
SDM53332,5333296572,0.05369075,-2.9964106675231636e-06,6.64366934968698,152.68125915237093,41.89822780414773,7.370717652941269
SDM53332,5333217798,0.054667335,-1.3475380370796988e-06,6.078655352480418,142.93814911776522,28.418467622533516,7.183174011264174
SDM53332,5333267619,0.054964706,-4.039108323695345e-07,5.583126550868484,145.73396613510005,29.612635474414684,7.897984526983494
SDM53332,5333223994,0.05166582,-1.0485947638432284e-05,6.000384024577572,141.77864450959234,28.3721483392187,7.282420731365171
SDM53332,5333227597,0.05267771,5.942441248371792e-06,5.914322250639385,142.1108920771153,29.742407983453383,7.451446755032646
SDM53332,5333234461,0.057033025,3.526396621305656e-07,5.852842809364548,142.50041451952038,26.516178911168286,7.9801278908748765
SDM53332,5333261933,0.0528549,5.516202124977048e-06,6.197257383966243,147.40374833638907,29.927586747220673,7.55250243164229
SDM53332,5333227319,0.052983254,-4.578453254380673e-06,5.779901356350185,157.89916419543152,36.324891683965106,7.50583429680596
SDM53332,5333295782,0.05442516,7.336303326841665e-07,6.016847172081828,154.92753153739002,34.780253689461546,7.345394821079659
SDM53332,5333210066,0.051266234,-2.5730115595377713e-06,6.851230425055928,141.76998065449993,22.976502541438954,7.129077048171551
SDM53332,5333296432,0.05468513,-3.574056058007233e-06,6.032436708860759,145.47150538851363,22.76312126905593,7.360522126528083
SDM53332,5333229100,0.056298174,-1.6724394341666171e-09,5.802810902896081,148.62105645697466,36.51415186816408,7.502406673303858
SDM53332,5333220838,0.055448882,-1.2417406267212518e-06,6.7172897196261685,155.54638862657524,45.294185114220824,7.25470171107312
SDM53332,5333269124,0.053630758,4.434036905377508e-06,6.249999999999998,154.9241898627058,41.080293660143,8.124560241555539
SDM53332,5333293324,0.054857183,-8.530288713464636e-06,6.019467213114754,146.53071761534005,32.416589099326146,7.529583335407499
SDM53332,5333298856,0.05438491,-6.752484708175828e-06,6.297229219143577,146.85109589991507,35.91307091631111,7.012414860016087
SDM53332,5333214768,0.055052318,-8.04371423844962e-06,6.366640746500777,142.2600373238506,29.937683432576613,7.304781215951051
SDM53332,5333261700,0.052496754,-6.8384733304829505e-06,6.2647405660377355,150.0523689887369,35.68690724575094,7.080109135519226
SDM53332,5333280388,0.053980034,4.2087214068944e-06,5.988325281803543,142.01941706780795,30.11682704285721,7.617011585858655
SDM53332,5333246875,0.055532932,5.736283180039397e-07,6.153474903474903,157.14992734802064,45.71354803715564,7.850285460754934
SDM52137,5213719648,0.11232657,-5.080220854641072e-05,5.426917510853834,122.63061006842965,17.85702712923206,12.214772240872199
SDM52137,5213726060,0.10100979,-5.488865798814297e-05,5.918560606060605,120.18260826330658,16.25409697688547,13.093027482169392
SDM53332,5333251180,0.12509085,-6.268351847608038e-05,5.600527108433733,122.33458473331505,15.364306513089556,12.944966098654733
SDM52137,5213763714,0.115829185,-8.769232933126782e-05,5.198706099815157,117.89130043524295,15.387095960382911,12.17054211561225
SDM52137,5213738683,0.11523088,-6.094831697379096e-05,6.555316091954022,118.26952065234887,15.15591311938035,11.90059194709794
SDM52137,5213752600,0.115769885,-5.3153938846488925e-05,5.600280014000698,124.94502257930252,22.78279634467813,12.211646081088146
SDM53332,5333249580,0.11109895,-7.15560791220856e-05,6.086142322097378,122.82041886243196,23.78064875967087,11.747974689740209
SDM52137,5213777226,0.1153498,-3.06635781699508e-05,5.702000373901662,123.40001005002526,18.215911715143747,12.391860964845511
SDM52137,5213761545,0.07528659,-6.319468697863658e-05,4.858993902439023,118.49665001153063,25.066252120580398,12.535900888244667
SDM52137,5213719916,0.09551576,-5.4464204054030216e-05,6.147540983606556,118.89756423041267,15.229757858508378,13.368015830573357
