speaker_id,line_id,rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr
SDF81975,8197521612,0.19812337,-6.423641204603141e-05,5.634469696969696,206.1483897788704,33.96853821901215,10.174792404823616
SDF17568,1756853845,0.15534464,-4.068634768616293e-05,5.7915057915057915,231.9542305888444,39.041622695919585,10.806750073691834
SDF17568,1756816156,0.15997395,-2.6502315198746503e-05,6.235827664399092,230.2485377591714,36.789411354872826,11.174413754341032
SDF17568,1756824602,0.15562658,-3.993093592906523e-05,6.138392857142858,238.24738370310365,53.69531604142754,9.97681357419077
SDF17568,1756894402,0.12271626,-2.6718673149996336e-05,6.6722972972972965,216.51462395099443,33.23534863652592,11.032600156846723
SDF17568,1756842418,0.13472533,-2.3613807381662014e-05,6.910925844668714,239.21955718859448,37.285832390785835,10.90808648818739
SDF17568,1756853829,0.1278607,-1.658556536122914e-05,6.612821807168097,229.3389842206773,36.83726796239939,10.930676953271263
SDF17568,1756830094,0.112381905,-2.034873835676466e-05,6.091101694915253,222.39400982696606,60.82616231906433,10.054999584364284
SDF17568,1756861931,0.12232525,-2.235274887931933e-05,7.02219603221371,246.87670270615388,202.99516829220516,10.013891068771132
SDF17568,1756876984,0.13604653,-2.2739440733747678e-05,6.241699867197874,243.91366490561117,59.29188004885688,11.976762399668328
SDF17568,1756811887,0.14105353,-2.0616466959895346e-05,5.963164251207729,225.2747334049804,30.864330378963363,11.1717018490255
SDF17568,1756861487,0.12851357,-1.809118982368251e-05,6.602822580645161,237.79982847669763,47.50292819119093,9.663906070767974
SDF17568,1756810097,0.115474716,-1.5343327495044974e-05,6.560145492335671,253.05090165689094,213.92141987397022,10.480243854259124
SDF17568,1756824918,0.12955193,-3.586634093512889e-05,7.520325203252034,246.68719442568838,56.66560671211931,10.171762830766298
SDF17568,1756853623,0.124692604,-2.7013249209767016e-05,5.703831252690486,269.06047420094865,260.76512984838564,11.444636116127798
SDF17568,1756830987,0.13384481,-2.5201488804704163e-05,6.648035230352303,226.97233062240352,42.33320152190145,10.509249806821533
SDF17568,1756864856,0.12472644,-2.18553723303832e-05,5.521956350249803,213.46072631432122,38.86701627659245,11.782243431598026
SDF17568,1756856443,0.11973535,-2.676533405390009e-05,5.793226381461676,202.78263448482116,28.040446385664996,10.328297318205225
SDF17568,1756858608,0.15388094,-2.2263291830108978e-05,5.981276005547849,269.80402741945073,79.35346101471934,11.463385785911974
SDF17568,1756885199,0.12641871,-4.098224107766536e-05,6.34598976109215,213.7042113537124,34.59955043356542,11.255974592219605
SDF17568,1756898475,0.13939929,-3.859346233376147e-05,6.160488626790226,232.06299084848763,45.105963683574195,10.157398019115806
SDF17568,1756822821,0.13983536,-3.323080324171814e-05,5.449999999999999,208.1473291909533,36.63118059257937,10.745103701242332
