rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr,original_speaker_id,line_id,wer_score
0.12139374,-0.0003777293,5.315157733386076,118.56638159498202,27.39937475744272,9.763709476214707,66177,6617765104,0.0
0.12486823,-0.00016281982,5.872691761363635,115.86427347145715,22.38526204344184,9.649461050560834,66177,6617794366,0.0
0.13378851,-0.00022790678,6.434054587897289,132.7427552727424,46.606123564416414,9.860686930475318,66177,6617785401,473.6842105263157
0.11093017,0.0001066597,5.782019187737748,115.51688174518648,26.466610219017216,10.434708847640218,66177,6617782723,14.285714285714285
0.11282691,0.0003712512,4.536869840801887,117.91890753165126,27.6782993965047,10.667721443723185,66177,6617718848,2.857142857142857
0.11518677,0.00028221885,6.196605215827339,124.05521547029814,36.58760976474573,10.252396238407512,66177,6617758765,2.0
0.13182269,-0.00019353027,4.915768455334987,127.10898320608406,49.32888475980379,11.432570509541954,66177,6617769267,2.631578947368421
0.12172528,0.0006490893,4.449008910123967,118.52858171012387,42.99849802633573,11.026056625474878,66177,6617754056,0.0
0.12600367,-0.00025220003,5.987842580213904,126.14174384657728,33.16532396483554,10.018649598738913,66177,6617714923,2.380952380952381
0.11691556,0.001038059,5.242866847826086,114.80445878764937,28.292975450276,9.307187288187178,66177,6617794440,10.256410256410255
0.11510847,-9.702441e-06,5.027636906670944,124.09214053885556,36.8285279368791,11.053463183933266,66177,6617794134,0.0
0.12772559,7.964772e-06,5.4949162679425845,111.99346893107284,26.186972482750644,10.30032329774338,66177,6617767562,0.0
0.107585594,0.0002034994,4.412541623975411,119.74128367327526,35.65513696237283,10.583840975740506,66177,6617788830,2.7777777777777777
0.1320322,0.000833961,5.602134146341462,119.05793898823754,31.643227554614217,10.160729722838372,66177,6617717739,8.21917808219178
0.13479415,-0.00038818264,5.616247406639004,117.90866121059943,26.33235408448749,10.224049422530728,66177,6617792018,5.084745762711865
0.116836995,0.00020822862,5.627725290697673,119.22161857164303,28.73053051831764,10.461648671608192,66177,6617722972,4.838709677419355
0.12229749,-0.00033627864,5.634856892523365,124.16530052627726,29.73056192682874,9.918769103000708,66177,6617788041,0.0
0.1261242,-0.00019881135,5.768579694681548,117.38864603963682,32.17396420708778,9.559034924825548,66177,6617798780,8.928571428571429
0.11446445,0.0034942927,5.051526776838966,267.2400986656261,495.6589045834666,9.763568754498152,66177,6617731213,0.0
0.10572213,0.000406095,5.954424409650926,123.76969791631828,38.31594646168628,9.779282760973226,66177,6617745488,5.454545454545454
0.114406295,-0.0003610471,4.917342886740332,124.7996160302175,33.319520644799994,10.348022336899504,66177,6617738697,12.0
0.10010623,0.0001050126,4.496185708802457,132.6726968799936,62.346951611764965,10.49547357906413,66177,6617786813,6.25
0.114642,-4.187521e-05,4.94360513245033,114.38990595080274,28.00435720541333,10.013680072534438,66177,6617761031,3.8461538461538463
0.1166905,-0.00013875982,4.947364936440677,114.08207536816684,27.040156067575687,10.358889365859872,66177,6617759628,0.0
0.11681697,-0.00012773175,5.8706070287539935,109.7484977079293,26.205533119699236,9.462060132379284,66177,6617725864,3.7037037037037033
0.13916928,0.0004956155,6.282628676470588,121.4521818157352,26.21977062259971,8.884767485928236,97736,9773653338,2.1739130434782608
0.13244162,-0.00015035461,6.916360294117645,126.84205221792148,29.910864121382605,9.304888045090197,97736,9773612218,0.0
0.1399131,3.9642542e-05,6.364834337349396,122.81168489522972,33.967195078380506,9.33413272915411,97736,9773676682,1.8181818181818181
