rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr,original_speaker_id,line_id,wer_score
0.0844429,-0.00017821738,6.705515008223683,209.7157095896609,54.6530735486643,13.613666130381947,50377,5037749256,2.272727272727273
0.08117436,-0.00019040718,8.233283547794118,218.33095164744643,36.71622706442545,13.002751717492789,50377,5037792470,9.090909090909092
0.0684347,-0.00017572925,9.090296826018813,214.25395216939864,63.69919852759308,12.120855541721124,50377,5037749739,12.698412698412698
0.066195674,-0.00019622598,8.395617102888087,200.84120921059747,51.55979523005649,12.031234114953149,50377,5037771856,0.0
0.0755031,-0.00019840608,7.03125,220.16465220005963,38.981783362240215,12.715306123485858,50377,5037723157,7.142857142857142
0.069538444,-0.00020161098,8.545593381630647,197.537867636228,41.841332050543386,12.581621391362503,50377,5037789138,5.660377358490567
0.058975086,-0.00012365403,8.899708654988123,202.3646621319576,42.80295840660799,11.822580326124209,50377,5037796308,20.37037037037037
0.07118321,-0.00019727513,7.513142523364485,226.41597438743068,40.238812096361045,12.67184390313736,50377,5037720327,0.0
0.07061239,-0.00022388491,7.283809267241379,202.18637333458577,24.715873860174263,12.569992598264376,50377,5037780355,23.07692307692308
0.07061298,-0.00015923918,7.135262573964499,202.13049070335884,40.01993733567339,13.915651537651453,50377,5037778321,2.272727272727273
0.056036927,-0.00011381243,6.53985116479724,204.36575142458585,56.805194424555424,12.904782182316996,50377,5037780731,9.433962264150944
0.070202924,-0.00011729713,8.2786138803681,210.8186092294456,53.52993605546479,12.618939880694011,50377,5037782074,4.081632653061225
0.057375126,-0.00017077936,8.350826696675899,190.17073323023337,23.734219844513667,11.992055636373156,50377,5037725101,21.21212121212121
0.06978042,-0.00022957531,7.756035248815167,203.79730633510624,35.23015116114081,12.62671017801555,50377,5037729056,9.25925925925926
0.07154992,-0.0002110163,8.512676886792455,204.74531108882883,34.31384395822581,12.521146276625574,50377,5037794211,7.142857142857142
0.069232576,-0.00022783107,7.330452127659576,194.68045688227065,23.6380625508822,12.86300761844731,50377,5037743709,2.272727272727273
0.078528,-0.00013768797,7.627145292933812,199.78284901022752,33.26430458038403,12.2893660569874,50377,5037764774,24.561403508771928
0.062088072,-0.00021048186,8.078106682297776,191.41979684008552,26.6004915290526,12.806029700657769,50377,5037775410,8.045977011494253
0.062071294,-0.0001925817,8.485991379310349,193.66959602032443,30.137593887810983,12.516553905313968,50377,5037787620,6.25
0.07615211,-0.00021087694,5.746351522842642,198.8095397668828,37.03478224926347,13.78269469573712,50377,5037735159,8.333333333333332
0.069303066,-0.000269191,7.373731549815496,196.8750541743648,25.57157990117124,12.81157196715155,50377,5037749297,10.344827586206897
0.06737229,-0.0002339752,7.993386008522728,191.45650774394983,28.82142672931816,12.989087438268912,50377,5037736544,10.256410256410255
0.07067541,-0.00025569616,8.222702863961816,194.2357266842944,28.76663553264612,12.541872315292173,50377,5037765055,5.970149253731343
0.06810718,-0.00026638125,8.271031663907285,199.975572359976,29.063218022233634,12.715762425014578,50377,5037750211,4.225352112676056
0.07946164,-0.00020093148,6.003895777479895,208.8443992870272,37.88873816822807,13.97907371826484,50377,5037768240,11.842105263157894
0.07707913,-0.0001854464,8.071983530871002,217.4645446790756,39.9190112677927,13.300996607996948,91663,9166311106,10.416666666666668
0.06815151,-0.000114827766,7.067922027121002,201.3777418713489,54.35219251751879,13.557808228280695,91663,9166394949,0.0
0.06510095,-0.00016933527,8.166948042998898,224.68997064160416,42.20590578909362,12.531759214039344,91663,9166344672,0.0
0.07191808,-0.00018288761,7.90727459016393,214.3530445377924,37.75513995432826,12.442277180996964,91663,9166354449,0.0
0.08405775,-0.00019808626,8.95037322874494,211.25719793425392,40.22207634054168,12.390236383698577,91663,9166366716,7.894736842105263
0.07709166,-0.00023812322,8.746133917095115,201.5588537191333,35.413445637851645,12.963910408191383,91663,9166345382,6.976744186046512
0.065640464,-0.00015189225,7.681856187290969,205.4603049605766,50.83582900384115,12.668378822660648,91663,9166336162,6.8181818181818175
