speaker_id,line_id,rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr,wer_score
74572,7457246003,0.03796945,-0.0001257003903693,6.102941176470588,151.1269470964881,26.29652847649625,10.8826380550399,16.0
74572,7457255411,0.028999414,-7.641735992566415e-05,6.430868167202571,174.44597677127894,55.95051176512549,10.034930501914705,0.0
74572,7457234937,0.03037891,-7.782435678280062e-05,5.644273127753301,173.448779915395,66.15168581693801,10.102667173140476,2.0
74572,7457281969,0.03386558,-9.65205101931687e-05,5.9668284789644,169.13257468446645,50.88034239291903,10.372178634299225,94.37
74572,7457267504,0.03464038,-9.286287383423752e-05,5.578422876949738,164.5209502077083,43.464138208262085,11.02419513312194,1.69
74572,7457297108,0.036347073,-9.84531712453838e-05,6.960556844547564,150.14688868351854,28.258530989900205,10.570763577799717,3.28
74572,7457297030,0.043912183,-0.0001405611971732,6.833538083538083,145.99393793697408,29.83365788097834,12.112248667104769,0.0
74572,7457295946,0.040373705,-0.0001154845648933,5.875340599455041,162.05021214926967,49.94785205404974,11.062732334127384,2.13
74572,7457282653,0.04031899,-0.0001255742890363,6.6959261760072,155.81672032347706,24.365496797712467,11.345689921598431,1.37
74572,7457291354,0.037407566,-0.0001083076303667,4.861111111111111,163.37105536913728,53.25458822259791,10.382693798176488,5.26
74572,7457265307,0.034885816,-0.0001023240884231,5.771396396396396,171.91310344180886,60.853040437736674,11.20024239689565,4.0
74572,7457266619,0.035353184,-0.0001025761185683,5.76036866359447,224.63279832818893,132.4482730209279,10.798333114889306,3.51
74572,7457256743,0.037836216,-0.0001075837972688,5.004084967320261,134.63423750569723,41.18182333689702,9.597302224663425,5.66
74572,7457267436,0.040964436,-0.0001427255028334,4.645606583488188,143.7369244087479,26.80414543959206,10.926129049627445,4.35
74572,7457263003,0.04441568,-0.0001486730079695,5.300353356890459,152.46848950932613,21.487048689507645,10.725407601438828,1.79
74572,7457230049,0.043653447,4.1666376178416126e-05,5.372276029055692,155.259917776145,30.221914827315747,11.59825518625022,4.65
79961,7996193195,0.029876068,-2.6106734796066804e-05,6.821533923303834,156.6559222869697,55.950191853606,9.587466020658214,2.04
79961,7996134626,0.029612722,-2.5163607657377937e-05,6.578947368421051,148.64091168336154,57.00486556895918,9.30869048718952,1.16
79961,7996148064,0.03143447,-2.214241563968937e-05,8.268059181897303,146.48736039868726,45.44883528192301,11.303090678295431,2.0
79961,7996198093,0.041841853,-2.906440752607801e-05,5.954579025110782,189.21066719770096,47.8750302508766,9.498886576811556,2.56
79961,7996129092,0.03015894,-6.808540119047788e-05,7.314974182444061,215.7850011995878,120.60927326653037,10.369161313704044,9.09
79961,7996121872,0.033302333,-4.2076782327600354e-05,6.091101694915253,284.2958760130829,217.9374233764718,10.063146208150178,0.0
79961,7996135369,0.033206325,-6.476333706070628e-05,4.657451923076923,126.09751390045004,59.60239357652947,6.96842226856244,5.08
79961,7996182798,0.03731235,-4.726685290139306e-05,6.028938906752412,158.5163845636952,56.823054025791045,7.799765492384077,3.23
79961,7996133119,0.040138837,-2.689468954264765e-05,7.059487951807228,181.51386477854865,26.398044031467595,11.562990135130232,3.77
79961,7996160199,0.036117136,-2.985928388712781e-05,6.871727748691098,180.3156634110494,43.00060104721251,11.755295941588304,0.0
79961,7996163054,0.035028934,-2.1723575101129288e-05,7.239736070381231,171.19299354936177,40.032218730463946,11.423997347274268,7.84
79961,7996172676,0.050466787,-1.7512200344948606e-05,6.580141586494826,182.63229752749183,25.56831822681719,9.631675280305124,1.27
79961,7996194058,0.04653624,-3.645792980272791e-05,6.120017331022531,154.7014091058175,47.207150105827616,9.096296616269711,10.67
79961,7996173674,0.027290337,-2.3598640771882928e-05,6.903353057199211,168.68383792941765,45.157439932901866,10.790061482738745,0.0
79961,7996124421,0.039670385,-2.473869917759372e-05,5.955081669691469,169.5772674973168,48.12201197342263,9.331300473062171,5.71
79961,7996139491,0.033955973,-5.371498364328719e-05,5.914322250639386,276.5513923115069,343.2488158299564,7.939626558113495,4.08
79961,7996186380,0.04507687,-7.766926165577957e-05,6.953324808184142,183.9532954818749,41.8361259916734,12.51904400304997,0.0
79961,7996199661,0.030796835,-7.515477340097848e-05,7.11206896551724,170.65368412997927,27.771619005724183,10.41655769193603,3.03
79961,7996140880,0.029944621,-7.399479691787015e-05,7.58630289532294,163.47913048468865,33.8073070445895,10.761296139554272,1.43
79961,7996168776,0.030209044,-4.436669648372718e-05,7.322416974169743,168.39956946238763,33.242290501415006,11.396403570184354,2.78
79961,7996144067,0.039103966,-2.4869782958526265e-05,6.043632075471698,115.13918560856436,55.22425231735407,9.012311681114804,1.75
79961,7996163620,0.03961301,-2.98005838968064e-05,6.095995893223819,113.34996485657892,52.46646339678145,8.873517904788564,1.47
79961,7996124253,0.04445074,-9.790490355218902e-06,6.078094302554027,135.75587831630588,59.965606258776525,10.095834208004671,8.06
79961,7996186531,0.029638745,-1.5031850163138392e-05,6.068994889267462,115.12875758066976,52.60717622276163,9.069381684365167,0.0
79961,7996126854,0.03157937,-2.204311808094196e-05,7.694128787878786,222.6476877030907,103.62820404785448,10.812538627574051,2.7
79961,7996111062,0.0338629,-2.43265549731026e-05,6.895796847635726,156.457296905338,41.31408455268911,9.953630529705531,6.76
79961,7996176513,0.03762572,-4.912803840843291e-05,6.575265808617796,171.6055705227774,69.1697101162079,8.817916053871466,5.45
79961,7996199541,0.037795976,-1.9197994881076853e-05,6.872356785851594,164.83379687959288,29.505967860230264,9.611641338110616,2.3
79961,7996154756,0.03208557,-2.035283079489779e-05,5.502392344497608,185.56174948014555,71.40417481232348,8.39114661153504,0.0
79961,7996116018,0.025775673,-2.4097041379498714e-05,6.790123456790123,159.27102739052555,42.32093503028526,9.808782734388622,6.0
79961,7996176145,0.03155311,-2.265612242193957e-05,6.765463917525774,172.8643925173027,63.70860513762518,11.149506226795731,2.78
79961,7996164257,0.025927935,-2.023756971709712e-05,8.507412398921831,183.2369681300595,33.20816556157784,11.12411888490614,1.49
79961,7996190005,0.02564119,-2.063012075700065e-05,7.553807947019866,164.7662150783353,26.88258311595108,10.756253916786086,4.0
79961,7996198108,0.020618876,-2.347624235546104e-05,6.710954446854664,185.1283837680836,35.04431771144035,7.758849915860092,3.33
79961,7996161268,0.030537121,-2.597555063563348e-05,6.050281954887216,170.61091683295618,45.11515277249645,8.642582739157543,2.74
79961,7996128286,0.028629176,-2.0434545831037864e-05,6.238957597173143,178.68770826429392,32.27267256748629,11.758399371241444,6.41
79961,7996168535,0.022821268,-2.006932797573793e-05,7.783882783882783,178.9212342702327,25.29714864519352,11.498801411114682,0.0
79961,7996184384,0.04181183,-3.722594039497077e-05,6.06122868296692,142.0468569996399,55.86087564321872,7.762554700191234,0.0
79961,7996155001,0.045162424,-2.070857612176465e-05,4.908738938053097,206.76979767095904,128.93462059914302,7.778066278623354,8.89
79961,7996139599,0.023059977,-5.09504826040936e-05,5.092195540308747,166.9108472397196,28.98938694776709,11.732946039945029,1.79
79961,7996129553,0.02929885,-2.300498809940745e-05,7.440476190476189,154.00892312043197,46.377787424100845,9.846161541092936,0.0
79961,7996199399,0.030051513,-2.315329495668749e-05,7.076446280991735,186.02511302986744,24.55192373652048,10.901208757762571,3.66
79961,7996116634,0.031804524,-1.9407978054573504e-05,7.812499999999999,185.52742785241648,34.178989561084606,10.420255156330173,0.0
79961,7996174135,0.035427663,-5.570183139857398e-05,5.9281842818428165,211.3884214174465,75.66320615676229,10.804336789535824,0.0
79961,7996179214,0.0358144,-4.692441683156951e-05,6.54332129963899,191.96548787155007,67.41787950266881,9.563604298203368,3.12
80351,8035166094,0.058856618,-4.044416336229592e-06,6.447767663632422,204.4475077604891,34.81881255680059,11.366862162456805,1.28
80351,8035153799,0.059469704,-1.2268428807217063e-05,6.198844487241214,208.6233861671729,30.345924717603683,11.254549360369367,0.0
80351,8035113697,0.060141552,-1.0491050318727233e-05,5.346034214618974,201.19423072447108,33.16189687273393,11.016486256891808,24.42
80351,8035161512,0.05740767,-7.12815155676675e-06,6.382042253521126,209.5090735659057,36.015637952520834,11.6927478570067,1.19
80351,8035181634,0.07108094,-6.239941857254217e-06,5.394079885877318,208.87851128577125,30.07997816136185,11.726488379195557,4.0
80351,8035143813,0.06771312,-5.14256066363832e-06,6.071428571428572,211.09510083350003,33.13133883634042,12.012547760416028,2.27
80351,8035173904,0.052161958,-1.47576421481049e-05,5.208333333333333,208.720080749266,31.718175783844032,10.826825879975909,10.17
80351,8035129326,0.065792225,-2.141683863669257e-05,5.922519509476032,205.5799750531114,28.53901103289321,12.261396398088143,8.62
80351,8035198224,0.0635809,-8.839561710416664e-06,6.05143721633888,204.17681813683865,33.818679658924225,11.529741061765026,1.16
59116,5911635413,0.07130863,1.2606526488705969e-05,5.910165484633569,197.9433792829112,42.17155413017666,9.233377941245596,1.79
59116,5911626697,0.07308,-3.018640708525677e-06,5.437228138593069,209.9775969579946,58.71202178648889,10.34106762267914,2.17
59116,5911675629,0.07267753,-1.665628318110892e-05,6.061422413793103,195.1318075583356,61.49304127910319,9.679928694050592,0.0
59116,5911629895,0.071929015,-5.902602792134747e-06,6.278072682727643,190.80626157908952,49.81092519950146,9.567849574396194,2.67
59116,5911664456,0.07482519,-1.822960978266588e-05,5.9523809523809526,206.69322078559367,57.360065429268666,10.04177036782047,5.26
59116,5911647133,0.0749904,8.904033256634319e-06,6.711409395973154,172.26810710439617,39.426460495886495,8.379111623108427,12.66
59116,5911633295,0.07478895,-1.1501573014063748e-05,4.3376480308454965,187.9403920716649,45.94891524746903,8.611293574592947,0.0
59116,5911680626,0.07376452,1.8759217875690129e-06,6.172037422037422,247.09179847572577,255.7563072697021,9.88405233076452,5.17
59116,5911634255,0.07354012,-7.680362002639009e-06,5.635245901639345,178.75959648838108,35.07843216824942,10.267049057588196,2.38
59116,5911685364,0.07460487,-5.556823221167139e-07,5.956491712707183,201.697852395352,44.06879934199062,10.522248508640285,0.0
59116,5911615826,0.0751788,9.750768583688904e-06,5.743037202683472,197.8004969602076,37.67632301952381,10.194086376358792,5.56
15165,1516595362,0.06562029,0.0001569271197938,6.25,167.3761864751114,34.96870839243648,12.755749675776098,0.0
15165,1516585699,0.07121912,0.0002318543853723,6.749649368863954,161.68734713921327,28.189158435767528,11.212496258678671,1.94
15165,1516517904,0.072543964,0.0001393873658755,7.009345794392523,179.99858356496938,31.046027187580727,12.333413593300502,4.17
15165,1516562214,0.06871132,0.0002156573591924,5.447247706422018,157.9504220400125,32.04092878599221,10.82628724105063,0.0
15165,1516526912,0.065911785,0.0002021927077419,6.935586734693877,157.68302446503293,41.80369707486268,11.100596536281811,0.0
15165,1516559758,0.057887886,0.0002021211267711,6.758720930232558,154.37003694271257,32.31621742704874,11.085655343272208,6.56
15165,1516511849,0.05497607,0.0001473939373169,5.184331797235022,142.03467224795637,44.42026576474036,8.741516753072618,0.0
15165,1516512862,0.062457405,0.0001490638997015,4.250747384155455,142.597975318546,32.05668851267789,8.567046591721098,4.62
15165,1516510393,0.064991534,0.000187122903228,4.45,144.88033248335685,27.745694620936987,10.04315493409842,5.88
15165,1516515458,0.065188035,0.0001330059898515,4.936305732484076,153.8872014778038,26.251961557427897,8.532982156705792,2.35
15165,1516548148,0.07245392,0.000234170442871,5.368719611021069,163.98587864158063,26.56547240241928,9.747182226981511,0.0
15165,1516542846,0.07890539,0.0002673967890919,5.729166666666666,161.30872039972752,28.69853640770137,10.46942770120382,12.0
15165,1516528939,0.069736674,0.0001955991158011,5.02950643776824,155.28675333376685,26.10987359467974,9.790989384849292,2.13
15165,1516579619,0.06797295,0.0002621692843353,5.387931034482759,174.95979089609338,34.522054108928245,12.478079777583805,5.56
15165,1516512205,0.060941543,8.840866560682192e-05,6.1773255813953485,182.92147131185573,26.47857259102742,11.269041871368737,7.14
15165,1516583085,0.06746207,0.0001088213098734,6.077015643802647,169.11749713557265,27.261864967440008,11.374316431634236,0.0
15165,1516581826,0.05961412,0.0001103227730144,4.819381729767279,173.41480264453955,54.90825631704151,9.31280853849563,0.0
57308,5730887360,0.038358122,-9.331506751562897e-06,3.919239904988124,166.4003180347554,45.166151408308224,7.222715655081079,2.22
57308,5730846719,0.03742597,-3.1923883263906194e-05,5.468750000000001,191.29918640989263,47.04733959668852,10.197463929649665,4.55
57308,5730863925,0.040013757,-3.2949561733322285e-05,4.985119047619048,178.6209688082346,42.17037647493507,10.556493678295178,0.0
57308,5730845070,0.0505441,-4.575086893839447e-05,5.405405405405405,190.18881561029693,33.99722193401833,12.695770220837536,12.96
57308,5730831008,0.0417872,-2.2876880204071585e-05,5.187583001328022,179.6655100511344,44.66293136835216,11.102418251407483,4.0
57308,5730841886,0.053646512,-3.825461128791457e-05,4.619338705195887,174.41549104686007,55.46896018141332,7.378620595429138,7.07
57308,5730837172,0.053574387,-4.190269777730352e-05,5.315068493150685,126.41442810689682,58.611095960234586,6.859093431989908,4.62
57308,5730887176,0.05406714,-1.1332483782408334e-05,5.543237250554324,113.2515191151122,58.37259575021083,6.498288263180818,11.34
57308,5730869363,0.046289437,-3.289867285913376e-05,6.8359375,196.5213173911536,45.61889111642529,10.147358394711889,12.31
57308,5730881930,0.03999397,-3.06371873252417e-05,3.869606003752345,165.13890149139604,45.95769288933293,9.626764607513511,10.2
57308,5730859383,0.047229983,-3.0241017908984392e-05,5.560747663551402,203.04309368907693,45.30278348245865,9.1372096585188,2.22
57308,5730891312,0.04195309,-2.2869511818354423e-05,5.78327922077922,209.66453073615543,46.4942727343788,9.057513207986466,5.95
57308,5730816909,0.041609015,1.5169948474502244e-05,4.750331418471055,167.35133949489912,45.30227902083598,10.683923870506556,3.03
57308,5730877033,0.06215843,-6.061201501077263e-05,4.276315789473684,88.02827827391478,41.32246997174267,5.233271980233534,2.56
57308,5730839327,0.055376887,-5.03901906022892e-05,4.304347826086956,74.32454823745782,12.155256652227848,5.001799866015459,6.76
57308,5730839020,0.049515415,-1.5368443047184253e-05,3.743589743589744,104.47672355501471,52.88687884520392,4.939050063299467,8.33
57308,5730853362,0.061556634,-6.849562939933526e-05,4.571428571428571,77.0247124355112,12.742498912852527,6.561556339764448,0.0
57308,5730821048,0.042745825,-4.095740299871693e-05,4.668674698795181,184.0658753114335,37.8511834064475,10.659263990794454,6.67
